,pk,pre_nes_uid,Gender,DOB,DOB_reg,research_group,birth_place,birth_place_lat,birth_place_lng,current_residence_in_targetplace,current_residence,current_residence_lat,current_residence_lng,education_level,raised_in_targetplace,raised_place,generations_in_targetplace,time_away_from_targetplace,time_away_from_targetplace_elaboration,plan_to_live_in_targetplace,mother_tongue,mother_tongue_other,mother_tongue_itsComplicated,how_long_target,rate_target_speaking,rate_target_listening,formal_education_in_target,formal_education_elaboration,rate_polish_speaking,rate_polish_listening,know_other_languages,addLang_1,AL1c,addLang_1_rate_speaking,addLang_1_rate_listening,addLang_2,AL2c,addLang_2_rate_speaking,addLang_2_rate_listening,addLang_3,AL3c,addLang_3_rate_speaking,addLang_3_rate_listening,addLang_4,AL4c,addLang_4_rate_speaking,addLang_4_rate_listening,addLang_5,AL5c,addLang_5_rate_speaking,addLang_5_rate_listening,target_used_in_home,number_target_interlocuters,n_target_inter_reg,frequency_speaking_target,target_study_time,use_target_with_grandparents,use_target_with_parents,use_target_with_siblings,use_target_with_children,use_target_with_familyGathering,use_target_with_friends,use_target_with_neighbors,use_target_with_coworkers,use_target_with_businessActivities,use_target_with_romanticPartner,use_target_with_church,use_target_with_healthCare,use_target_with_shopping,use_target_with_socialMedia,use_target_with_elaboration,target_internal_dialogue,target_dreams,foreign_target_users,target_language_how_long,target_language_motivation,target_langauge_engagement,target_culture_engagement,parents_support_language_engagement,parents_support_culture_engagement,family_against_language_engagement,peers_against_langauge_engagement,people_against_elaboration,pride_speaking_target,shame_speaking_target,avoids_target,avoids_target_elaboration,target_speaker_criticism,locals_should_target,target_taught_to_schoolChildren,target_transmission_important,anything_to_add
10,27,,male,1983-06-23,1983-06,csb,Puck,54.718056,18.409167,FALSE,Pilece,53.984722,21.235556,post Master education,True,Lebcz,3+,True,Po studiach w Gdansku prowadze zycie podzielone pomiedzy Dolna Saksonia a Kaszubami,definitely yes,kashubian,,,,9,9,none,"Nie. Nie posiadam zadnej edukacji w jezyku kaszubskim, mimo ze jest to moj jezyk ojczysty",9,9,True,Niemiecki,German,9,9,angielski,English,6,8,,,,,,,,,,,,,very often,10,10,everyday,>1 hour/week,very likely,likely,maybe,likely,likely,maybe,maybe,never,never,likely,very unlikely,very unlikely,maybe,likely,Praca w miedzynarodowej korporacji wymaga uzywania jezyka niemieckiego albo angielskiego,very often,very often,agree,od urodzenia,"jest to jezyk ojczysty: Jezyk serca, czesc mojej osobowosci",7,6,they support it,they support it,no one,no one,,very often,never,False,,constructively,strongly agree,strongly agree,strongly agree,
11,28,,female,2003-11-10,2003-11,csb,Bytów,54.168889,17.489445,TRUE,Lipnica,49.498611,19.613333,not finished secondary school,True,Lipnica,3+,False,,probably yes,polish,,,,7,7,a2,"Nie, ponieważ języka kaszubskiego uczyłam się sama poprzez udział w konkursach recytatorskich oraz w domu, ze szkoły nie wyniosłam umiejętności posługiwania się j. kaszubskim na zadowalającym poziomie. Uważam, że jest on w rzeczywistości wyższy niż formalny.",9,9,True,Angielski,English,6,6,Niemiecki,German,4,4,,,,,,,,,,,,,often,5,5,a few times per week,1-2 hours/week,very likely,maybe,maybe,maybe,very likely,likely,maybe,maybe,unlikely,likely,likely,unlikely,likely,likely,,often,never,strongly agree,9 lat,"Czuję, że jest to część mnie. Moje dziedzictwo, kultura i to, kim jestem. Dlatego chcę używać tego języka i się go uczyć.",6,8,they support it,they strongly support it,no one,no one,,always,never,False,,never,agree,neutral,strongly agree,
12,29,,male,2002-10-15,2002-10,csb,Wejherowo,54.601667,18.238333,TRUE,Reda,54.603333,18.349167,finished middleschool,True,Reda,3+,False,,definitely yes,polish,,Z większością rodziny komunikowałem się po po,,7,7,none,"Trochę tak, polski się rozwinął i mówię dojrzale, po kaszubsku nadal jak dziecko.",9,9,True,Białoruski,Belarusian,6,7,Rosyjski,Russian,5,6,,,,,,,,,,,,,sometimes,4,4,a few times per week,2-3 hours/week,never,likely,unlikely,very unlikely,maybe,likely,maybe,unlikely,very unlikely,maybe,maybe,very unlikely,unlikely,very likely,,often,never,agree,"Od 8-9 lat, tj. k. V klasy SP","Zarówno wtedy, jak i dziś jest to kwestia wew. potrzeby.",3,2,they like it,they like it,no one,no one,,always,never,False,,constructively,strongly agree,strongly agree,strongly agree,
13,30,,male,1982-12-06,1982-12,csb,Szczecëno/Szczecin,53.431815,14.54676,FALSE,Szczecëno/Szczecin,53.431815,14.54676,finished Master,False,Szczecëno/Szczecin,3+,True,"Urodziłem się i mieszkam poza Kaszubami, tak jak obecnie pojmuje się ten region.",probably no,complicated,,"Dominowała polszczyzna, ale z naleciałościami kaszubskimi i z językiem niemieckim jako drugim w pokoleniu dziadków.",,7,8,none,Nie odbierałem edukacji formalnej. Moja kaszubszczyzna to to co wyniosłem z domu i to do czego doszedłem sam.,9,9,True,angielski,English,7,9,niemiecki,German,3,5,czeski,Czech,2,7,,,,,,,,,very often,3,3,everyday,6-7 hours/week,very unlikely,likely,never,very likely,maybe,always,maybe,very likely,maybe,always,never,very unlikely,likely,always,Nie,always,very often,strongly agree,świadomie od ok. 10 lat,"Moja rodzina od wieków mieszka na Pomorzu. Czuję związek z Pomorzem, to moja Ojczyzna i mój kraj, czuję potrzebę posługiwania się językiem jakim przed wiekami i przez wieki posługiwali się moi przodkowie. Utożsamiam język pomorski (słowiański) z językiem kaszubskim.",7,7,they like it,they support it,no one,no one,"Zaznaczyłem obie odpowiedzi ""nie ma"", z tego względu, że nie docierają do mnie takie opinie, a nawet gdyby miały docierać, nie jestem nimi zainteresowany i nie mają wpływu na mnie.",always,never,False,,constructively,strongly agree,strongly agree,strongly agree,Życzę powodzenia.
14,31,,female,1998-05-19,1998-05,csb,Puck,54.718056,18.409167,FALSE,Smolno,54.66188,18.41043,not finished Master,True,Smolno,3+,False,,probably yes,polish,,,,8,9,c2,Tak,9,9,True,Angielski,English,5,7,,,,,,,,,,,,,,,,,always,5,5,everyday,1-2 hours/week,very likely,maybe,never,very likely,unlikely,likely,never,always,likely,maybe,unlikely,never,unlikely,likely,,very often,never,strongly agree,4 lata,Kaszubskiego zaczęłam się uczyć na studiach.,7,8,they strongly support it,they strongly support it,no one,no one,,very often,never,False,,never,strongly agree,strongly agree,strongly agree,
15,32,,male,2001-09-10,2001-09,csb,Wejherowo,54.601667,18.238333,TRUE,Łężyce,54.515279,18.374661,not finished Master,True,Łężyce,3+,False,,definitely no,polish,,,,8,9,b2,"Jô jem dbë, co jo, Kò maturalnô niwizna B2 nie je nijak wësokô. Mëszlã, że znajã kaszëbsczi na kąsk wëższi rówiznie jakno na maturalnô.",9,9,True,Angielski,English,4,9,Hiszpański,Spanish,4,4,,,,,,,,,,,,,often,50,50,everyday,1-2 hours/week,always,very unlikely,very unlikely,very likely,very likely,likely,very likely,very likely,very unlikely,likely,very unlikely,very unlikely,maybe,very likely,,very often,sometimes,strongly agree,10 lat,"Chęć poznania i zrozumienia siebie i tego, kim jestem.",7,8,they are neutral,they are neutral,one person,> one person,"Osoby o poglądach z nurtu polskiego nacjonalizmu uważają, że zaangażowanie na rzecz kaszubszczyzny jest niebezpieczne, a zaangażowani są wrogami Polski i Polaków.",always,never,False,,constructively,strongly agree,strongly agree,strongly agree,
16,33,,female,2004-08-08,2004-08,csb,Kościerzyna,54.121111,17.9775,TRUE,Kościerzyna,54.121111,17.9775,not finished secondary school,True,Kościerzyna,3+,False,,probably yes,polish,,,,8,9,b2,"Mam umiejętności wyższe od poziomu formalnej edukacji, są zauważalne różnice w biegłości i rozumieniu języka pomiędzy uczniami z mojej grupy",9,9,True,Angielski,English,8,8,Hiszpański,Spanish,2,4,,,,,,,,,,,,,sometimes,1,1,once per week,3-4 hours/week,likely,very unlikely,likely,likely,maybe,very unlikely,never,never,never,maybe,very unlikely,never,unlikely,very likely,,sometimes,never,strongly agree,12 lat,"Konkursy i wysokie wyniki w nich już od początku nauki, przy tym bardzo wspierająca i motywująca nauczycielka",6,6,they strongly support it,they like it,no one,no one,,always,never,False,,never,agree,neutral,strongly agree,
17,34,,male,1992-06-14,1992-06,csb,Działdowo,53.238607,20.182461,TRUE,Gdańsk,54.349722,18.653611,post Master education,False,Działdowo/Krasnołąka,0,True,"wychowany na Mazurach, reszta życia w Trójmieście",probably yes,polish,,,,6,8,none,nie dotyczy,9,9,True,mazurski,Mazurian,8,9,angielski,English,6,7,pruski,Prussian,7,8,esperanto,Esperanto,6,8,duński,Danish,5,6,never,5-10,10,once per week,1-2 hours/week,never,never,never,maybe,never,maybe,unlikely,very unlikely,maybe,never,never,never,unlikely,maybe,,sometimes,sometimes,agree,10 lat,"jest to język przyjaciół i regionu, w którym żyję",2,2,they are neutral,they are neutral,no one,no one,,sometimes,never,False,,constructively,agree,neutral,strongly agree,
18,35,,female,1985-08-27,1985-08,csb,Gdynia,54.349722,18.653611,TRUE,Lubnia,53.929439,17.747902,finished Master,True,Gdynia/ Wiele,3+,False,,definitely yes,polish,,,,7,9,none,"Brak formalnej edukacji nie oddaje rzeczywistych zdolności, ponieważ mimo tego świetnie odnajduję się w roli nauczyciel a tego języka i łatwo przychodzi mi nabywanie nowych kompetencji językowych w tym kierunku.",9,9,True,Angielski,English,7,8,Rosyjski,Russian,8,9,Hiszpański,Spanish,6,7,,,,,,,,,very often,20,20,everyday,<9 hours/week,very likely,very likely,maybe,very likely,likely,very likely,likely,very likely,likely,very likely,likely,maybe,likely,likely,,often,never,agree,Od października 2020 roku,Oferta pracy i rozwój zainteresowana tym tematem wraz z poznawaniem go.,9,7,they like it,they like it,no one,no one,,always,never,False,,constructively,strongly agree,strongly agree,strongly agree,"Uważam, że ważne jest uświadomienie dzieciom kaszubskim,  że mamy piękne tradycje, piękny jezyk, coś co nas wyróżnia i warto to pielęgnować, aby przetrwało pokolenia."
19,36,,female,1983-02-27,1983-02,csb,Brodnica,52.407918,16.933467,TRUE,Reda,54.603333,18.349167,finished Master,False,"Brodnica, Koszajny, Bydgoszcz",0,True,"Na Kaszuby przeprowadziłam się dopiero w wieku lat 21, trafiając tutaj na studia (UG).",definitely yes,polish,,,,5,7,b2,"Zaczęłam się uczyć na zajęciach dla dorosłych w KFK w Gdyni, co pozwoliło mi póżniej rozwijać te umiejętności na studiach podyplomowych z języka kaszubskiego dla nauczycieli. Przez to, że była to edycja zdalna (covid) nie było tylu okazji do ćwiczenia mówienia, jak na stacjonarnej edycji, więc najtrudniej było mi płynnie mówić.",9,9,True,Angielski,English,5,7,,,,,,,,,,,,,,,,,sometimes,5,5,rarely,7-8 hours/week,never,never,never,very likely,never,maybe,very unlikely,maybe,very unlikely,never,very unlikely,very unlikely,very unlikely,maybe,W pracy rozmawiam po kaszubsku z katechetką i innymi nauczycielami kaszubskiego. Zdarzyło mi się rozmawiać podczas wizyty u weterynarza (Reda) i fryzjera (Gdynia).,sometimes,never,strongly agree,koło 3 lat,"Zainteresowanie etnografią, przyrodą i bogactwem kulturowym regionu. Rozpoczęcie pracy w szkole, w której na pasowaniu pierwszaków śpiewano hymn kaszubski (marsz). Projekt Mały Kolberg na Pomorzu, który pomógł mi odkryć, że chcę tego uczyć dzieci. Chęć przekwalifikowania się zawodowego.",7,7,they support it,they support it,no one,no one,,often,never,False,,constructively,strongly agree,strongly agree,strongly agree,
20,38,,female,1995-12-27,1995-12,csb,Kartuzy,54.333611,18.202778,TRUE,Mściszewice,54.262999,17.853059,finished Bachelor,True,Sierakowice,3+,False,,definitely yes,polish,,,,9,7,c2,"Pytanie nie do końca jest dla mnie zrozumiałe. To wszystko, czego nauczyłam się w trakcie studiów, nadal wykorzystuję. Jednakże ze względu na własne zainteresowania po zakończeniu studiów zaczęłam się szkolić w wybranych dziedzinach (np. gramatyka języka kaszubskiego), natomiast wiedzę, którą zdobyłam, a której nie wykorzystuję na co dzień, z pewnością wymagałaby odświeżenia (np. historia Kaszubów, literatura kaszubska). Jeśli chodzi o zdolności językowe - są one na większym poziomie niż w trakcie studiów czy krótko po zakończeniu edukacji.",7,7,True,niemiecki,German,4,7,,,,,,,,,,,,,,,,,often,200,200,everyday,5-6 hours/week,likely,unlikely,never,very likely,likely,very likely,maybe,unlikely,maybe,very likely,maybe,maybe,likely,always,,sometimes,sometimes,strongly agree,od 6 lat,"Duży wpływ na podjęcie studiów na kierunku etnofilologia kaszubska miał Kaszubski Zespół Pieśni i Tańca ""Sierakowice"", którego byłam członkiem około 10 lat. Zespół rozbudził to, co było uśpione. Istotny wpływ na to miała także moja śp. prababcia Urszula, u której spędzałam każde wakacje letnie. Miała trudności z mówieniem po polsku. Gdyby można było cofnąć czas z tą świadomością, którą mam dzisiaj, zrobiłabym to. Bez wahania. Ile ciekawych rzeczy mogłaby mi opowiedzieć. Słuchanie jej mowy byłoby miodem dla uszu. Wspomnę także, że pierwszym kierunkiem, na który aplikowałam, była lingwistyka stosowana. Z tego względu, że napisałam jedynie podstawową maturę z języka angielskiego (naukę rozpoczęłam dopiero w szkole średniej, cykl 3-letni), nie dostałam się na ten kierunek. Potem powstało jakieś zamieszanie. Nie potrafię sobie już teraz dokładnie przypomnieć jak to się stało, że nie zdecydowałam się na filologię niemiecką (to był dla mnie wtedy najważniejszy język!), a zostałam na etnofilologii kaszubskiej. Ten ostatni stał w moim rankingu na 3. miejscu. Było to jedynie koło ratunkowe. Potoczyło się tak, jak powinno. :)",7,7,they don't like it,they don't like it,no one,no one,,very often,never,False,,never,neutral,neutral,strongly agree,
21,39,,male,2002-12-02,2002-12,csb,Chojnice,53.69528,17.563055,TRUE,Brusy,53.886667,17.717778,not finished Bachelor,True,Brusy,3+,False,,probably yes,polish,,,,7,8,a1,"Uważam, że nie. Edukację kaszubskiego odbierałem tylko przez niecałe trzy lata w podstawówce.",9,9,True,Angielski,English,7,8,,,,,,,,,,,,,,,,,sometimes,2,2,rarely,>1 hour/week,maybe,unlikely,very unlikely,very unlikely,very unlikely,unlikely,never,never,never,very unlikely,unlikely,never,very unlikely,unlikely,,sometimes,never,strongly agree,Około 3 lat,"1. Nauka w liceum w Chojnicach gdzie poczułem odrębność i przynależność do Kaszubów
2. Zainteresowanie historią rodziny
3. Wpływ niektórych znajomych",2,4,they are neutral,they are neutral,no one,no one,"Ciekawostka. Moja babcia, która zna kaszubski najlepiej w rodzinie, mówi, że to brzydki język i nie mam tak mówić. Babcia nie mówi jednak już po kaszubsku ale często „kaszubi”. Nie powiedziałbym też, że jest przeciwna mojemu zaangażowaniu w język kaszubski.",sometimes,never,True,"Wydaje mi się, że niektórzy ludzie mogliby traktować to jako naśmiewanie się",never,agree,strongly agree,strongly agree,
22,40,,male,1995-08-27,1995-08,ru,Siemianowice Śląskie,50.3025,19.033611,,Siemianowice Śląskie,50.3025,19.033611,not finished Master,,,,,,probably no,other,śląski,,,8,9,c2,"Studia magisterskie odbyłem w formie zdalnej, więc praktyczna nauka języka stała na bardzo niskim poziomie, niemniej wydaje mi się, że czerpana skądinąd wiedza rzeczywiście pozwala mi na określenie swojego poziomu jako C2.",9,9,True,ukraiński,Ukrainian,8,9,białoruski,Belarusian,6,8,angielski,English,6,7,chorwacki,Croatian,4,6,kaszubski,Kashubian,3,7,never,10,10,once per week,4-5 hours/week,,,,,,,,,,,,,,,,often,often,,ok. 7 lat,"Ciężko pisać o początkowych motywacjach, rozpoczęcie znajomości z językiem rosyjskim było dziełem przypadku, szybko doszło jednak pragnienie kontaktu z literaturą rosyjską w oryginale. Obecnie celowo się nie uczę, podtrzymuję natomiast bardzo częsty kontakt, który pomaga zapamiętywać leksykę oraz konstrukcje gramatyczne.",,,,,,,,,,,,,,,,
